trip_id,realtime_trip_id
9919692-125-C-Saturday-50,2926057
9919693-125-C-Saturday-50,2926060
9919694-125-C-Saturday-50,2926059
9919695-125-C-Saturday-50,2926062
9919696-125-C-Saturday-50,2926061
9919697-125-C-Saturday-50,2926064
9919698-125-C-Saturday-50,2926063
9919699-125-C-Saturday-50,2926066
9919700-125-C-Saturday-50,2926065
9919701-125-C-Saturday-50,2926068
9919702-125-C-Saturday-50,3996006
9919703-125-C-Saturday-50,3996009
9919704-125-C-Saturday-50,3996008
9919705-125-C-Saturday-50,3996011
9919706-125-C-Saturday-50,2946001
9919707-125-C-Saturday-50,2926045
9919708-125-C-Saturday-50,2926002
9919709-125-C-Saturday-50,2926001
9919710-125-C-Saturday-50,2926004
9919711-125-C-Saturday-50,2926003
9919712-125-C-Saturday-50,2926006
9919713-125-C-Saturday-50,2926005
9919714-125-C-Saturday-50,2926007
9919715-125-C-Saturday-50,2926008
9919716-125-C-Saturday-50,2926009
9919717-125-C-Saturday-50,2926010
9919718-125-C-Saturday-50,2926012
9919719-125-C-Saturday-50,2926011
9919720-125-C-Saturday-50,2926014
9919721-125-C-Saturday-50,2926013
9919722-125-C-Saturday-50,2926016
9919723-125-C-Saturday-50,2926015
9919724-125-C-Saturday-50,2926018
9919725-125-C-Saturday-50,2926017
9919726-125-C-Saturday-50,2926020
9919727-125-C-Saturday-50,2926019
9919728-125-C-Saturday-50,2926022
9919729-125-C-Saturday-50,2926048
9919730-125-C-Saturday-50,2926046
9919731-125-C-Saturday-50,2926021
9919732-125-C-Saturday-50,2926024
9919733-125-C-Saturday-50,2926023
9919734-125-C-Saturday-50,2926026
9919735-125-C-Saturday-50,2926025
9919736-125-C-Saturday-50,2926028
9919737-125-C-Saturday-50,2926027
9919738-125-C-Saturday-50,2926030
9919739-125-C-Saturday-50,2926029
9919740-125-C-Saturday-50,2926032
9919741-125-C-Saturday-50,2926031
9919742-125-C-Saturday-50,2926034
9919743-125-C-Saturday-50,2926033
9919744-125-C-Saturday-50,2926036
9919745-125-C-Saturday-50,2926035
9919746-125-C-Saturday-50,2926038
9919747-125-C-Saturday-50,2926037
9919748-125-C-Saturday-50,2926040
9919749-125-C-Saturday-50,2926039
9919750-125-C-Saturday-50,2926042
9919751-125-C-Saturday-50,2926041
9919752-125-C-Saturday-50,2926044
9919753-125-C-Saturday-50,2926043
9919754-125-C-Saturday-50,4006002
9919755-125-C-Saturday-50,4006004
9919756-125-C-Saturday-50,4006097
9919757-125-C-Saturday-50,4006099
9919758-125-C-Saturday-50,4006102
9919759-125-C-Saturday-50,4006101
9919760-125-C-Saturday-50,4006104
9919761-125-C-Saturday-50,4006103
9919762-125-C-Saturday-50,4006106
9919763-125-C-Saturday-50,4006105
9919764-125-C-Saturday-50,4006108
9919765-125-C-Saturday-50,4006107
9919766-125-C-Saturday-50,3996001
9919767-125-C-Saturday-50,3996002
9919768-125-C-Saturday-50,3996003
9919769-125-C-Saturday-50,3996004
9919770-125-C-Saturday-50,3996005
9919771-125-C-Saturday-50,3996007
9919772-125-C-Saturday-50,2966002
9919773-125-C-Saturday-50,2966004
9919774-125-C-Saturday-50,2966006
9919775-125-C-Saturday-50,2966001
9919776-125-C-Saturday-50,2966008
9919777-125-C-Saturday-50,2966003
9919778-125-C-Saturday-50,2966010
9919779-125-C-Saturday-50,2966012
9919780-125-C-Saturday-50,2966005
9919781-125-C-Saturday-50,2966014
9919782-125-C-Saturday-50,2966007
9919783-125-C-Saturday-50,2966016
9919784-125-C-Saturday-50,2966009
9919785-125-C-Saturday-50,2966018
9919786-125-C-Saturday-50,2966011
9919787-125-C-Saturday-50,2966020
9919788-125-C-Saturday-50,2966022
9919789-125-C-Saturday-50,2966013
9919790-125-C-Saturday-50,2966024
9919791-125-C-Saturday-50,2966015
9919792-125-C-Saturday-50,2966026
9919793-125-C-Saturday-50,2966017
9919794-125-C-Saturday-50,2966028
9919795-125-C-Saturday-50,2966019
9919796-125-C-Saturday-50,2966030
9919797-125-C-Saturday-50,2966021
9919798-125-C-Saturday-50,2966032
9919799-125-C-Saturday-50,2966023
9919800-125-C-Saturday-50,2966034
9919801-125-C-Saturday-50,2966025
9919802-125-C-Saturday-50,2966036
9919803-125-C-Saturday-50,2966027
9919804-125-C-Saturday-50,2966038
9919805-125-C-Saturday-50,2966029
9919806-125-C-Saturday-50,2966040
9919807-125-C-Saturday-50,2966031
9919808-125-C-Saturday-50,2966033
9919809-125-C-Saturday-50,2966042
9919810-125-C-Saturday-50,2966035
9919811-125-C-Saturday-50,2966044
9919812-125-C-Saturday-50,2966037
9919813-125-C-Saturday-50,2966046
9919814-125-C-Saturday-50,2966039
9919815-125-C-Saturday-50,2966048
9919816-125-C-Saturday-50,2966041
9919817-125-C-Saturday-50,2966050
9919818-125-C-Saturday-50,2966043
9919819-125-C-Saturday-50,2966052
9919820-125-C-Saturday-50,2966045
9919821-125-C-Saturday-50,2966054
9919822-125-C-Saturday-50,2966047
9919823-125-C-Saturday-50,2966056
9919824-125-C-Saturday-50,2966049
9919825-125-C-Saturday-50,2966058
9919826-125-C-Saturday-50,2966051
9919827-125-C-Saturday-50,2966060
9919828-125-C-Saturday-50,2966053
9919829-125-C-Saturday-50,2966062
9919830-125-C-Saturday-50,2966055
9919831-125-C-Saturday-50,2966064
9919832-125-C-Saturday-50,2966057
9919833-125-C-Saturday-50,2966066
9919834-125-C-Saturday-50,2966059
9919835-125-C-Saturday-50,2966061
9919836-125-C-Saturday-50,2786001
9919837-125-C-Saturday-50,2786002
9919838-125-C-Saturday-50,2786003
9919839-125-C-Saturday-50,2786004
9919840-125-C-Saturday-50,2786005
9919841-125-C-Saturday-50,2786006
9919842-125-C-Saturday-50,2786007
9919843-125-C-Saturday-50,2786008
9919844-125-C-Saturday-50,2786009
9919845-125-C-Saturday-50,2786010
9919846-125-C-Saturday-50,2786011
9919847-125-C-Saturday-50,2786012
9919848-125-C-Saturday-50,2786013
9919849-125-C-Saturday-50,2786014
9919850-125-C-Saturday-50,2786015
9919851-125-C-Saturday-50,3976007
9919852-125-C-Saturday-50,3976002
9919853-125-C-Saturday-50,3976001
9919854-125-C-Saturday-50,3976004
9919855-125-C-Saturday-50,3976003
9919856-125-C-Saturday-50,3976006
9919857-125-C-Saturday-50,3976005
9919858-125-C-Saturday-50,2786016
9919859-125-C-Saturday-50,2786017
9919860-125-C-Saturday-50,2786018
9919861-125-C-Saturday-50,2786019
9919862-125-C-Saturday-50,2786020
9919863-125-C-Saturday-50,2786021
9919864-125-C-Saturday-50,2786022
9919865-125-C-Saturday-50,2786023
9919866-125-C-Saturday-50,2786024
9920116-125-C-Saturday-50,2946002
9918672-125-C-Sunday-50,4007112
9918673-125-C-Sunday-50,4007110
9918674-125-C-Sunday-50,4007108
9918675-125-C-Sunday-50,4007106
9918676-125-C-Sunday-50,4007099
9918677-125-C-Sunday-50,3997011
9918678-125-C-Sunday-50,3997001
9918679-125-C-Sunday-50,3997007
9918680-125-C-Sunday-50,3997005
9918681-125-C-Sunday-50,3997009
9918682-125-C-Sunday-50,3997004
9918683-125-C-Sunday-50,3997006
9918684-125-C-Sunday-50,3997008
9918685-125-C-Sunday-50,3997003
9918686-125-C-Sunday-50,3997002
9918687-125-C-Sunday-50,292708
9918688-125-C-Sunday-50,292747
9918689-125-C-Sunday-50,292741
9918690-125-C-Sunday-50,292735
9918691-125-C-Sunday-50,292731
9918692-125-C-Sunday-50,292723
9918693-125-C-Sunday-50,292719
9918694-125-C-Sunday-50,292715
9918695-125-C-Sunday-50,292709
9918696-125-C-Sunday-50,292717
9918697-125-C-Sunday-50,292721
9918698-125-C-Sunday-50,292751
9918699-125-C-Sunday-50,292729
9918700-125-C-Sunday-50,292743
9918701-125-C-Sunday-50,292711
9918702-125-C-Sunday-50,292749
9918703-125-C-Sunday-50,292737
