route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
46-158,125-C-Weekday-50-SDon-0100000,9921178-125-C-Weekday-50-SDon-0100000,"Carolan",461003,1,,460067
122-158,125-C-Weekday-50,9921179-125-C-Weekday-50,"South SF BART",1221017,1,,1220499
83-158,125-C-Weekday-50-SDon-1100100,9921180-125-C-Weekday-50-SDon-1100100,"Bay/Menlo Oaks",831008,0,,830065
68-158,125-C-Weekday-50-SDon-0010000,9921181-125-C-Weekday-50-SDon-0010000,"Hiller/Wessex",681006,0,,680065
122-158,125-C-Weekday-50,9921182-125-C-Weekday-50,"Stonestown/SF State",1221028,0,,1220498
122-158,125-C-Weekday-50,9921183-125-C-Weekday-50,"South SF BART",1221029,1,,1220499
296-158,125-C-Weekday-50,9921184-125-C-Weekday-50,"Redwood City Transit Center",2961012,0,,2960218
296-158,125-C-Weekday-50,9921185-125-C-Weekday-50,"Redwood City Transit Center",2961007,1,,2960240
296-158,125-C-Weekday-50,9921186-125-C-Weekday-50,"Redwood City Transit Center",2961026,0,,2960218
296-158,125-C-Weekday-50,9921187-125-C-Weekday-50,"Redwood City Transit Center",2961023,1,,2960240
296-158,125-C-Weekday-50,9921188-125-C-Weekday-50,"Redwood City Transit Center",2961042,0,,2960218
296-158,125-C-Weekday-50,9921189-125-C-Weekday-50,"Redwood City Transit Center",2961039,1,,2960240
296-158,125-C-Weekday-50,9921190-125-C-Weekday-50,"Redwood City Transit Center",2961058,0,,2960218
296-158,125-C-Weekday-50,9921191-125-C-Weekday-50,"Redwood City Transit Center",2961055,1,,2960240
296-158,125-C-Weekday-50,9921192-125-C-Weekday-50,"Redwood City Transit Center",2961074,0,,2960218
296-158,125-C-Weekday-50,9921193-125-C-Weekday-50,"Redwood City Transit Center",2961071,1,,2960240
296-158,125-C-Weekday-50,9921194-125-C-Weekday-50,"Redwood City Transit Center",2961092,0,,2960218
292-158,125-C-Weekday-50,9921195-125-C-Weekday-50,"San Francisco",2921060,0,,2921014
122-158,125-C-Weekday-50,9921196-125-C-Weekday-50,"Stonestown/SF State",1221040,0,,1220498
296-158,125-C-Weekday-50,9921197-125-C-Weekday-50,"Redwood City Transit Center",2961014,0,,2960218
296-158,125-C-Weekday-50,9921198-125-C-Weekday-50,"Redwood City Transit Center",2961011,1,,2960240
296-158,125-C-Weekday-50,9921199-125-C-Weekday-50,"Redwood City Transit Center",2961030,0,,2960218
296-158,125-C-Weekday-50,9921200-125-C-Weekday-50,"Redwood City Transit Center",2961027,1,,2960240
